"Id","Source","Target"
"176","141887287","123236802"
"177","141887287","67465811"
"178","217046870","90935372"
"179","217046870","23377569"
"180","13451922","26"
"181","68394977","27"
"182","109509310","28"
"183","34288864","23377569"
"184","4970411","29"
"185","4970411","23137747"
"186","389672180","30"
"187","39219600","31"
"188","142997487","32"
"189","36609592","369757776"
"190","61831375","29"
"191","122906950","128022083"
"192","820694","222471144"
"193","820694","26"
"194","155537412","33"
"195","49780532","30087606"
"196","92253055","34"
"197","47323938","34288864"
"198","23584333","11680312"
"199","217046870","23137747"
"200","15460027","35"
"201","15460027","35"
"202","217046870","39975533"
"203","34288864","36"
"204","80836823","115628224"
"205","424755665","304901205"
"206","424755665","84680033"
"207","16632084","37"
"208","17680235","29854019"
"209","40081103","61831375"
"210","61831375","173620667"
"211","128690548","38"
"212","63115813","115628224"
"213","95328098","39"
"214","81451639","901267573"
"215","15871868","40"
"216","34288864","41"
"217","61831375","29"
"218","61831375","22059388"
"219","61831375","131446046"
"220","28550683","42"
"221","173580066","43"
"222","154632849","44"
"223","154632849","45"
"224","58441398","46"
"225","60366604","353922284"
"226","45224548","47"
"227","26936803","44850068"
"228","19468168","91316071"
"229","56954734","48"
"230","47323938","49"
"231","70495599","50"
"232","70495599","134191089"
"233","51570812","102075889"
"234","84114263","22"
"235","81132060","51"
"236","153803844","53"
"237","88645112","115628224"
"238","223901025","223901025"
"239","223901025","223901025"
"240","217046870","57468644"
"241","185218985","54"
"242","185218985","16995728"
"243","185218985","55"
"244","78459886","124971652"
"245","1140451","56"
"246","84793489","175757877"
"247","84793489","1"
"248","129004407","57"
"249","51558305","58"
"250","69725772","59"
"251","69725772","60"
"252","234924124","140378119"
"253","227996244","61"
"254","15946795","57778949"
"255","15946795","84680033"
"256","155537412","176218085"
"257","40217096","45224548"
"258","40217096","61831375"
"259","18239816","36609592"
"260","32660559","62"
"261","32660559","32660559"
"262","217046870","63"
"263","47323938","64"
"264","47323938","65"
"265","47323938","66"
"266","74416810","67"
"267","74416810","68"
"268","34288864","23377569"
"269","34288864","69"
"270","60921898","70"
"271","114997892","71"
"272","15946795","84680033"
"273","21870087","72"
"274","52722194","73"
"275","52722194","71875586"
"276","138181620","74"
"277","207525131","29854019"
"278","188670717","134894776"
"279","109153368","61831375"
"280","167109785","15344688"
"281","243100541","75"
"282","44881128","76"
"283","32660559","77"
"284","32660559","78"
"285","73361475","79"
"286","73361475","80"
"287","19468168","81"
"288","110823690","135820971"
"289","110823690","110823690"
"290","217046870","82"
"291","217046870","83"
"292","144607507","84"
"293","189838969","85"
"294","32541290","86"
"295","32541290","32541290"
"296","14752085","102075889"
"297","25787446","87"
"298","25787446","115628224"
"299","223901025","223901025"
"300","223901025","223901025"
"301","75781527","88"
"302","75781527","89"
"303","76572580","90"
"304","76572580","91"
"305","76572580","92"
"306","76572580","264151199"
"307","76572580","28599653"
"308","76572580","93"
"309","84825305","24720356"
"310","84825305","94"
"311","30950587","95"
"312","164585495","70"
"313","256718197","96"
"314","195828613","91316071"
"315","80791048","23377569"
"316","18921341","97"
"317","18921341","18921341"
"318","18921341","47326857"
"319","80836823","15344688"
"320","80836823","173620667"
"321","79227712","98"
"322","42202751","99"
"323","820694","1472069413"
"324","393248678","100"
"325","157598163","158140991"
"326","157598163","82494158"
"327","34288864","101"
"328","29667224","102"
"329","36648798","103"
"330","36648798","22059388"
"331","57768997","104"
"332","57768997","105"
"333","57641060","106"
"334","32359929","107"
"335","17141637","17141637"
"336","244057413","108"
"337","244057413","109"
"338","244057413","110"
"339","244057413","111"
"340","244057413","112"
"341","217046870","113"
"342","217046870","114"
"343","38673394","23137747"
"344","38673394","115628224"
"345","38673394","92833573"
"346","34914417","14738191"
"347","135063776","91292467"
"348","217046870","115"
"349","217046870","116"
"350","820694","117"
"351","92833573","92833573"
"352","55528721","118"
"353","55528721","119"
"354","34288864","120"
"355","47323938","23377569"
"356","115683157","121"
"357","115683157","122"
"358","115683157","123"
"359","115683157","124"
"360","115683157","125"
"361","125818381","126"
"362","70588567","115628224"
"363","16995728","127"
"364","16995728","16995728"
"365","67923944","115628224"
"366","125578075","91316071"
"367","217046870","128"
"368","217046870","23377569"
"369","115628224","115628224"
"370","46246292","129"
"371","23137747","130"
"372","23137747","23137747"
"373","23137747","17409452"
"374","146767385","131"
"375","101326687","132"
"376","228374107","133"
"377","96824761","134"
"378","14911067","65768612"
"379","98458438","91316071"
"380","65084495","135"
"381","42081157","23137747"
"382","78902447","136"
"383","78902447","115628224"
"384","80791048","6"
"385","80791048","92833573"
"386","80791048","137"
"387","194936024","138"
"388","217046870","139"
"389","217046870","281909728"
"390","68357302","11840692"
"391","29979814","140"
"392","29979814","29979814"
"393","116763916","141"
"394","23584333","142"
"395","369757776","115628224"
"396","369757776","304901205"
"397","369757776","143"
"398","369757776","204481211"
"399","180495712","2"
"400","180495712","106190555"
"401","217046870","144"
"402","118027745","115628224"
"403","122906950","115628224"
"404","229130023","145"
"405","74156375","26012679"
"406","74156375","34288864"
"407","106078139","146"
"408","106078139","147"
"409","106078139","148"
"410","191500854","45224548"
"411","34288864","149"
"412","9103722","124"
"413","26786407","45224548"
"414","114833676","150"
"415","114833676","151"
"416","217046870","144"
"417","48829013","152"
"418","22059388","92833573"
"419","78900930","69"
"420","820694","153"
"421","36648798","103"
"422","36648798","154"
"423","225734827","94"
"424","150957150","155"
"425","126914522","156"
"426","34288864","19196403"
"427","73502937","157"
"428","81977071","250365695"
"429","250383487","158"
"430","41077287","81"
"431","276120124","173620667"
"432","80791048","250365695"
"433","116406743","141887287"
"434","116406743","159"
"435","217046870","39975533"
"436","93007856","160"
"437","217046870","161"
"438","217046870","144"
"439","57468644","57468644"
"440","92301008","162"
"441","820694","23377569"
"442","820694","4970411"
"443","123877665","163"
"444","69669211","164"
"445","69669211","165"
"446","24001818","77"
"447","78706250","166"
"448","46379828","181989356"
"449","157047622","167"
"450","1658687670","148"
"451","151519440","168"
"452","18511475","169"
"453","42247024","84680033"
"454","211422004","170"
"455","29979814","171"
"456","217046870","172"
"457","18239816","115683157"
"458","18239816","173"
"459","237679195","237679195"
"460","27818124","174"
"461","271791007","175"
"462","271791007","176"
"463","217046870","231750500"
"464","39546681","115628224"
"465","217046870","177"
"466","80791048","901267573"
"467","80791048","178"
"468","80791048","179"
"469","58693","180"
"470","90666433","181"
"471","90666433","182"
"472","90666433","183"
"473","90666433","184"
"474","90666433","181"
"475","90666433","182"
"476","90666433","183"
"477","90666433","184"
"478","217046870","66"
"479","162040523","185"
"480","61015623","304901205"
"481","61015623","369757776"
"482","40716197","186"
"483","112661511","187"
"484","45224548","188"
"485","45224548","45224548"
"486","45224548","112"
"487","34605093","189"
"488","79179999","210524152"
"489","28968750","28968750"
"490","81132060","166"
"491","61831375","420411751"
"492","61831375","190"
"493","61831375","77"
"494","35747467","210524152"
"495","108740292","9411482"
"496","338680315","81"
"497","45224548","196555389"
"498","45224548","45224548"
"499","115628224","115628224"
"500","129569778","155516708"
"501","245358387","304901205"
"502","245358387","84680033"
"503","820694","9411482"
"504","201775493","191"
"505","221740705","22059388"
"506","221740705","192"
"507","67888012","193"
"508","28550683","194"
"509","28550683","195"
"510","59503113","196"
"511","79447042","65768612"
"512","143158337","197"
"513","217046870","211676047"
"514","217046870","115628224"
"515","61831375","198"
"516","61831375","199"
"517","136945273","84680033"
"518","136945273","200"
"519","140293931","201"
"520","203982871","61831375"
"521","15946795","202"
"522","34288864","23377569"
"523","51089696","203"
"524","102376418","204"
"525","158664000","205"
"526","217046870","16517337"
"527","1658687670","206"
"528","79449809","22059388"
"529","79449809","901267573"
"530","79449809","142"
"531","79449809","23377569"
"532","79449809","115628224"
"533","229719189","207"
"534","229719189","29854019"
"535","79795940","45224548"
"536","217046870","208"
"537","94436181","209"
"538","111521604","138314849"
"539","217046870","128022083"
"540","820694","210"
"541","16589206","210"
"542","37951988","69"
"543","217046870","211"
"544","52797863","212"
"545","116763916","213"
"546","217046870","92833573"
"547","16504257","214"
"548","243834483","37784361"
"549","67465811","215"
"550","42295538","115628224"
"551","42295538","216"
"552","75043920","217"
"553","15946795","218"
"554","15946795","35864523"
"555","217046870","219"
"556","84114263","36609592"
"557","377842578","23377569"
"558","196555389","45224548"
"559","22086481","32660559"
"560","51701223","151090359"
"561","217046870","27510384"
"562","217046870","115628224"
"563","217046870","220"
"564","217046870","23137747"
"565","217046870","221"
"566","217046870","222"
"567","38445028","29291858"
"568","217046870","114"
"569","26815193","223"
"570","26815193","224"
"571","217046870","225"
"572","35164317","27829672"
"573","73209707","226"
"574","61831375","227"
"575","61831375","173620667"
"576","83382572","229"
"577","83382572","230"
"578","83382572","229"
"579","161260155","161260155"
"580","161260155","231"
"581","115683157","232"
"582","115683157","115683157"
"583","41823841","88645112"
"584","18921341","233"
"585","104990168","234"
"586","392928651","235"
"587","169106814","48463421"
"588","75324452","36609592"
"589","145387065","59"
"590","145387065","60"
"591","81451639","236"
"592","81132060","237"
"593","45224548","238"
"594","45224548","45224548"
"595","199577044","239"
"596","219447640","240"
"597","65937237","241"
"598","27238491","242"
"599","820694","26"
"600","35191622","131446046"
"601","35191622","34288864"
"602","35191622","115628224"
"603","46751097","6273552"
"604","67208397","243"
"605","45224548","244"
"606","67465811","245"
"607","67465811","67465811"
"608","42247024","84680033"
"609","158140991","82494158"
"610","183528964","246"
"611","99851748","247"
"612","16149307","17902256"
"613","86939831","23584333"
"614","217046870","248"
"615","59109361","249"
"616","112681498","250"
"617","112681498","251"
"618","112681498","252"
"619","50604336","77"
"620","50604336","61831375"
"621","50656855","253"
"622","45388494","254"
"623","263818354","45224548"
"624","263818354","222"
"625","164477807","255"
"626","80791048","256"
"627","80791048","61115629"
"628","217046870","49"
"629","51666386","124971652"
"630","70495599","115628224"
"631","79449809","257"
"632","79449809","22059388"
"633","147119084","258"
"634","175877087","259"
"635","121177164","115628224"
"636","40217096","45224548"
"637","40217096","61831375"
"638","40217096","44354695"
"639","40217096","22059388"
"640","105905066","81"
"641","105905066","260"
"642","84692730","45224548"
"643","82238763","249"
"644","37447098","142"
"645","41373123","261"
"646","293930992","115628224"
"647","293930992","23584333"
"648","293930992","262"
"649","217046870","263"
"650","217046870","264"
"651","217046870","265"
"652","88187439","16995728"
"653","152582860","35083717"
"654","69725772","266"
"655","180525425","22059388"
"656","180525425","192"
"657","158664000","205"
"658","267","268"
"659","267","269"
"660","267","24720356"
"661","267","94"
"662","15946795","270"
"663","34288864","23137747"
"664","143720803","271"
"665","86750811","272"
"666","75405246","146769599"
"667","75405246","255"
"668","40663132","261"
"669","72905639","23584333"
"670","62055351","74129314"
"671","264151199","144"
"672","58795154","273"
"673","74224191","274"
"674","74224191","272"
"675","67888012","173620667"
"676","80912879","18446434"
"677","80912879","124971652"
"678","452828182","6273552"
"679","144634771","23584333"
"680","176200451","275"
"681","176200451","276"
"682","36889473","277"
"683","18378475","278"
"684","34288864","279"
"685","228786770","94"
"686","36586787","280"
"687","84407698","124971652"
"688","47323938","281"
"689","47323938","47323938"
"690","47323938","282"
"691","30950587","283"
"692","57468644","31480553"
"693","57468644","142"
"694","217046870","211676047"
"695","217046870","22059388"
"696","217046870","18094952"
"697","217046870","47"
"698","24861904","284"
"699","56954734","285"
"700","217046870","39975533"
"701","23377569","69"
"702","15460027","112681498"
"703","189567335","189567335"
"704","217046870","286"
"705","29841654","6273552"
"706","25806301","69669211"
"707","25806301","165"
"708","103890274","166"
"709","173796066","287"
"710","61841952","34288864"
"711","82896390","288"
"712","82896390","115628224"
"713","82896390","23584333"
"714","82896390","262"
"715","76836855","289"
"716","142997487","32"
"717","383403809","290"
"718","93171127","291"
"719","155943058","292"
"720","77476501","293"
"721","158664000","294"
"722","1658687670","91316071"
"723","34288864","23377569"
"724","116427791","295"
"725","175794334","112681498"
"726","280301523","296"
"727","280301523","297"
"728","280301523","77"
"729","280301523","70588567"
"730","280301523","298"
"731","48203064","1457048952"
"732","80791048","299"
"733","123432292","300"
"734","820694","301"
"735","34288864","302"
"736","22059388","115628224"
"737","34288864","10092762"
"738","138188673","303"
"739","217046870","378809160"
"740","217046870","121866524"
"741","98386397","304"
"742","67888012","173620667"
"743","244057413","305"
"744","105905066","65"
"745","105905066","306"
"746","105905066","81"
"747","114997892","114997892"
"748","114997892","183528964"
"749","206116022","307"
"750","206116022","206116022"
"751","169095851","23377569"
"752","820694","308"
"753","74416810","309"
"754","74416810","67"
"755","74416810","68"
"756","138111432","88645112"
"757","320214992","65"
"758","206082656","310"
"759","23584333","311"
"760","217046870","312"
"761","27701905","313"
"762","27701905","27701905"
"763","221320426","314"
"764","221320426","66961695"
"765","221320426","315"
"766","217046870","316"
"767","217046870","317"
"768","42660319","0"
"769","23584333","47323938"
"770","23584333","222"
"771","80791048","318"
"772","290043120","131"
"773","216331785","319"
"774","216331785","216331785"
"775","235107338","320"
"776","99851748","65"
"777","20231056","81"
"778","106190555","134894776"
"779","101326687","321"
"780","101326687","101326687"
"781","30950587","322"
"782","110013216","30950587"
"783","47323938","128022083"
"784","47323938","115628224"
"785","47323938","323"
"786","47323938","324"
"787","135820971","110823690"
"788","23584333","173620667"
"789","217046870","325"
"790","217046870","326"
"791","67888012","173620667"
"792","217046870","173620667"
"793","175129274","327"
"794","48677533","328"
"795","48677533","249"
"796","360141838","329"
"797","360141838","80895799"
"798","360141838","48203064"
"799","360141838","1457048952"
"800","179258225","101915739"
"801","56523695","330"
"802","40081103","331"
"803","40081103","115628224"
"804","1140451","124"
"805","1140451","332"
"806","217046870","87"
"807","325530386","138111432"
"808","325530386","34288864"
"809","140889339","140378119"
"810","239422039","82238763"
"811","239422039","249"
"812","187819477","333"
"813","158767551","334"
"814","41471233","14738191"
"815","32660559","335"
"816","820694","336"
"817","820694","337"
"818","33330809","304901205"
"819","217046870","91316071"
"820","61831375","173620667"
"821","60436215","901267573"
"822","61730518","304901205"
"823","15946795","121"
"824","820694","338"
"825","31480553","36609592"
"826","175129274","339"
"827","118131488","340"
"828","118131488","341"
"829","820694","102075889"
"830","123497930","226"
"831","29705778","342"
"832","85284167","22059388"
"833","217046870","343"
"834","66557120","344"
"835","217046870","50460956"
"836","77998852","16448277"
"837","80836823","345"
"838","217046870","124971652"
"839","17876856","346"
"840","30950587","347"
"841","30950587","30950587"
"842","22059388","348"
"843","22059388","349"
"844","67465811","350"
"845","67465811","67465811"
"846","230243182","351"
"847","147119084","74408066"
"848","41080642","352"
"849","41080642","22059388"
"850","175472678","353"
"851","155537412","354"
"852","17855968","81"
"853","45224548","87"
"854","181706773","355"
"855","181706773","356"
"856","181706773","357"
"857","47941666","358"
"858","453440834","45224548"
"859","37447098","84680033"
"860","212973087","45224548"
"861","37909390","359"
"862","161326741","360"
"863","24720356","94"
"864","160221994","361"
"865","160221994","160221994"
"866","90480568","362"
"867","820694","128022083"
"868","56835621","363"
"869","56835621","364"
"870","56835621","92833573"
"871","94610618","210524152"
"872","151226041","151090359"
"873","189838969","365"
"874","41077287","27238491"
"875","34288864","23377569"
"876","57939361","287"
"877","131280081","129892090"
"878","332668215","366"
"879","49811805","367"
"880","34288864","23377569"
"881","221320426","368"
"882","221320426","124971652"
"883","175428536","249"
"884","84793489","369"
"885","32521603","370"
"886","32521603","192"
"887","183528964","92"
"888","79227712","371"
"889","79227712","252"
"890","34288864","372"
"891","50246444","373"
"892","50246444","374"
"893","50246444","375"
"894","22674719","132159087"
"895","67923944","115628224"
"896","65179973","376"
"897","123392665","155516708"
"898","190209490","67465811"
"899","193750597","377"
"900","71244110","49"
"901","74453989","378"
"902","157738196","80005351"
"903","72916666","68"
"904","72916666","67"
"905","72916666","68"
"906","24291371","379"
"907","217046870","91316071"
"908","16611901","380"
"909","34288864","128022083"
"910","820694","381"
"911","820694","243"
"912","81451639","382"
"913","41077287","78"
"914","41077287","77"
"915","56057014","272"
"916","27803536","266"
"917","74408066","68"
"918","217046870","70629672"
"919","217046870","383"
"920","45224548","103400049"
"921","47323938","23377569"
"922","82580276","384"
"923","207497347","385"
"924","207497347","207497347"
"925","207497347","125578075"
"926","236891946","386"
"927","41077287","387"
"928","41077287","77"
"929","18921341","388"
"930","18921341","389"
"931","81749250","390"
"932","204358445","391"
"933","74746503","115628224"
"934","130873956","392"
"935","34288864","393"
"936","34288864","394"
"937","193638003","395"
"938","217046870","222"
"939","19468168","14619572"
"940","47323938","31480553"
"941","47323938","47323938"
"942","110670195","396"
"943","110670195","397"
"944","110670195","242448452"
"945","47323938","23377569"
"946","34288864","173620667"
"947","60553797","82494158"
"948","112490762","398"
"949","820694","153"
"950","263818354","222"
"951","263818354","45224548"
"952","263818354","399"
"953","64023325","400"
"954","24785274","47"
"955","219468289","401"
"956","47323938","34288864"
"957","40081103","188"
"958","30950587","402"
"959","132860665","115628224"
"960","27510384","23137747"
"961","27510384","403"
"962","32660559","78"
"963","32660559","404"
"964","45224548","244"
"965","98494889","405"
"966","98494889","144607507"
"967","98494889","84"
"968","77943025","406"
"969","175129274","327"
"970","175129274","175129274"
"971","175129274","327"
"972","223378076","407"
"973","371240659","408"
"974","19157308","409"
"975","217046870","81"
"976","38099117","91316071"
"977","111820217","364"
"978","111820217","92833573"
"979","65476383","410"
"980","128022083","411"
"981","128022083","128022083"
"982","163458820","369757776"
"983","163458820","115628224"
"984","163458820","304901205"
"985","163458820","143"
"986","163458820","204481211"
"987","183528964","412"
"988","217046870","44354695"
"989","18921341","47326857"
"990","18921341","18921341"
"991","18921341","47326857"
"992","148189843","115628224"
"993","29979814","413"
"994","47323938","34288864"
"995","47323938","222"
"996","195828613","414"
"997","86205200","23584333"
"998","59611145","415"
"999","46246292","78"
"1000","18446434","124971652"
"1001","65915225","416"
"1002","79227712","78"
"1003","23584333","417"
"1004","23584333","418"
"1005","31322556","419"
"1006","31322556","420"
"1007","61831375","293"
"1008","38432706","421"
"1009","357391561","102075889"
"1010","196628669","422"
"1011","61831375","423"
"1012","61831375","61831375"
"1013","41077287","25868966"
"1014","48677533","424"
"1015","36053916","47323938"
"1016","217046870","33960482"
"1017","217046870","97436688"
"1018","217046870","18511475"
"1019","52722194","425"
"1020","52722194","426"
"1021","38611730","427"
"1022","186542632","287"
"1023","243349723","9576102"
"1024","14372614","91316071"
"1025","217046870","23137747"
"1026","217046870","173620667"
"1027","104182466","428"
"1028","113350470","42081157"
"1029","820694","429"
"1030","820694","430"
"1031","260806677","84680033"
"1032","263818354","45224548"
"1033","263818354","61831375"
"1034","263818354","23377569"
"1035","263818354","222"
"1036","80791048","431"
"1037","80791048","432"
"1038","80791048","222"
"1039","125578075","433"
"1040","125578075","434"
"1041","125578075","125578075"
"1042","451704926","105905066"
"1043","451704926","81"
"1044","451704926","260"
"1045","229786844","435"
"1046","229786844","147"
"1047","229786844","91316071"
"1048","47323938","128022083"
"1049","217046870","69271273"
"1050","58448586","45224548"
"1051","58448586","115628224"
"1052","31541065","436"
"1053","172841310","22059388"
"1054","172841310","34288864"
"1055","235096285","275"
"1056","217046870","437"
"1057","21474245","53"
"1058","21474245","63"
"1059","106633149","438"
"1060","187956672","59109361"
"1061","187956672","249"
"1062","142752630","439"
"1063","32660559","440"
"1064","67888012","61831375"
"1065","217046870","34866754"
"1066","407945546","441"
"1067","407945546","22059388"
"1068","407945546","115628224"
"1069","407945546","442"
"1070","407945546","443"
"1071","407945546","23377569"
"1072","79237207","0"
"1073","88645112","444"
"1074","83123257","445"
"1075","83123257","83123257"
"1076","820694","23377569"
"1077","95241438","102075889"
"1078","77998852","16448277"
"1079","42295538","166"
"1080","42295538","115628224"
"1081","25523616","124971652"
"1082","82506582","82494158"
"1083","49957446","124971652"
"1084","60934360","446"
"1085","45224548","212973087"
"1086","45224548","45224548"
"1087","41373123","261"
"1088","193824415","447"
"1089","193824415","249"
"1090","166288568","448"
"1091","166288568","166288568"
"1092","44745559","65768612"
"1093","47323938","449"
"1094","16262733","450"
"1095","71000948","451"
"1096","71000948","452"
"1097","71000948","453"
"1098","74453989","454"
"1099","217046870","57887546"
"1100","80727480","318"
"1101","80727480","455"
"1102","58448586","45224548"
"1103","270592853","456"
"1104","270592853","270592853"
"1105","270592853","457"
"1106","105905066","260"
"1107","105905066","22059388"
"1108","105905066","81"
"1109","105905066","293"
"1110","30950587","458"
"1111","67208397","72"
"1112","67208397","45224548"
"1113","217046870","459"
"1114","35212784","369"
"1115","216349162","378809160"
"1116","23137747","460"
"1117","189838969","461"
"1118","217046870","158"
"1119","96547003","462"
"1120","50269042","187956672"
"1121","50269042","22059388"
"1122","50269042","23377569"
"1123","26125214","426"
"1124","191796526","23377569"
"1125","125374238","157"
"1126","16149307","463"
"1127","35204482","22"
"1128","134205755","34288864"
"1129","147465942","98714165"
"1130","131446046","6273552"
"1131","94436181","209"
"1132","50309257","50309257"
"1133","50309257","61831375"
"1134","32660559","464"
"1135","32660559","465"
"1136","84680033","286"
"1137","84680033","115628224"
"1138","41471233","466"
